target,text,cleaned_text,processed_text
0,"Im in da library, noelle and Kayla and connie just left. should i? maybe cuz im really bored. noone 2 chat and laugh with. ",im in da library noelle and kayla and connie just left should i maybe cuz im really bored noone chat and laugh with,im da library noelle kayla connie left maybe cuz im really bored noone chat laugh
0,@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,im seeing mewithoutyou that night in nyc otherwise i would go,im seeing mewithoutyou night nyc otherwise would go
0,@Jayme1988 ah bless craig... I seen some the other night on E4 bb docu... i felt really bad for him... ,ah bless craig i seen some the other night on e bb docu i felt really bad for him,ah bless craig seen night bb docu felt really bad
0,I already miss my bear. ,i already miss my bear,already miss bear
1,@brittanytran Magic is on Aug 31st - Sept 2nd.  Are you going? ,magic is on aug st sept nd are you going,magic aug st sept nd going
0,"@hannahnicklin Aw, sorry to hear that  And it seemed so full of life yesterday! Tbh the USB went on a friends WinMob phone. Hmmm :-\",aw sorry to hear that and it seemed so full of life yesterday tbh the usb went on a friends winmob phone hmmm,aw sorry hear seemed full life yesterday tbh usb went friend winmob phone hmmm
0,"@alisonrothwell Hi Ali, I can only DM you if you follow me  sucks huh? PM me through EKM if you like. Gaz",hi ali i can only dm you if you follow me sucks huh pm me through ekm if you like gaz,hi ali dm follow suck huh pm ekm like gaz
0,omfg why am I working right now? ,omfg why am i working right now,omfg working right
0,@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,cavs are making me sick serge if they dont win umma kick bron where it hurts,cavs making sick serge dont win umma kick bron hurt
1,@sreejith At least you got @karteekj create his account ,at least you got create his account,least got create account
0,wow i just watched the MTV movie awards on there website. poor Rob during the kiss i hope that was all intentional   ,wow i just watched the mtv movie awards on there website poor rob during the kiss i hope that was all intentional,wow watched mtv movie award website poor rob kiss hope intentional
1,@cazob then jb wiill sweep you up and take you with them ,then jb wiill sweep you up and take you with them,jb wiill sweep take
0,dont like it when the tour ends. ,dont like it when the tour ends,dont like tour end
0,@crystalsinger I hope so too. French Prime Minister said we must prepare for the worst though and I fear he's right ,i hope so too french prime minister said we must prepare for the worst though and i fear he is right,hope french prime minister said must prepare worst though fear right
0,"Sunday night, getting ready for bed and a full week at work ",sunday night getting ready for bed and a full week at work,sunday night getting ready bed full week work
0,We're getting violent.  Program randomly decided to hate us when we took a break to get food ,we are getting violent program randomly decided to hate us when we took a break to get food,getting violent program randomly decided hate u took break get food
1,"@svennemans Amen !! And let's not forget, the 14e GS title, which puts him right next to Sampras... No pressure, Roger, noooo pressure ",amen and let is not forget the e gs title which puts him right next to sampras no pressure roger noooo pressure,amen let forget g title put right next sampras pressure roger noooo pressure
0,my mom was just asking if i could work w/her on fri....so now i'm not sure....... ,my mom was just asking if i could work wher on friso now i am not sure,mom asking could work wher friso sure
0,is getting her hair dieddddddd. i miss my baby ,is getting her hair dieddddddd i miss my baby,getting hair dieddddddd miss baby
1,I can sleep in more... Yay ,i can sleep in more yay,sleep yay
0,@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,yeah i have these extra strength things my mum takes for her leg and no chemist will be open when i go god,yeah extra strength thing mum take leg chemist open go god
1,My dog is definitely cuter than yours. ,my dog is definitely cuter than yours,dog definitely cuter
1,@aldriniscool Awesome. I have the camera they modeled this after!! It's the one in our living room... along with everything else. ,awesome i have the camera they modeled this after it is the one in our living room along with everything else,awesome camera modeled one living room along everything else
0,Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,home from work was missing my maddie bug now off to put clothes away and make our bed maybe sleep in it tonight,home work missing maddie bug put clothes away make bed maybe sleep tonight
1,fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! ,finethere are so many movies anticipateespecially quotharry potter quotcause that is shown on my birthmonthwooot,finethere many movie anticipateespecially quotharry potter quotcause shown birthmonthwooot
1,I love the theme song. &quot;It all started with the big bang BANG!!!&quot; ,i love the theme song quotit all started with the big bang bangquot,love theme song quotit started big bang bangquot
1,is off to the gym... to do some hectic cardio training ,is off to the gym to do some hectic cardio training,gym hectic cardio training
0,I can't stand to watch this ,i cannot stand to watch this,stand watch
0,Only problem is that TIFF files can't be larger than 4GB ,only problem is that tiff files cannot be larger than gb,problem tiff file larger gb
0,@erockett89 i wish i was home in bed naked ,i wish i was home in bed naked,wish home bed naked
1,"My day so far, laundry, trip into town, back home.  Now am going to have a well deserved break before lunch then a visit to the library ",my day so far laundry trip into town back home now am going to have a well deserved break before lunch then a visit to the library,day far laundry trip town back home going well deserved break lunch visit library
1,"@hellonhairylegs Trueblood and Dexter should be back within weeks! Best. Shows. Ok, maybe not Ever but Currently at any rate. ",trueblood and dexter should be back within weeks best shows ok maybe not ever but currently at any rate,trueblood dexter back within week best show ok maybe ever currently rate
0,@savvygrl Eww.. That looks gross... I am guilty of still eating fish... ,eww that looks gross i am guilty of still eating fish,eww look gross guilty still eating fish
1,"Let me rephrase the last 3 jokes from dane were funny, in nfl blitz if you do somethin bad ass 3 times in a row you are on fire ",let me rephrase the last jokes from dane were funny in nfl blitz if you do somethin bad ass times in a row you are on fire,let rephrase last joke dane funny nfl blitz somethin bad as time row fire
1,"So according to Mr. Tagg, if I do this Peer Tutoring, he'll let me be an Environment Prefect next year. Yay for extra cred ",so according to mr tagg if i do this peer tutoring he will let me be an environment prefect next year yay for extra cred,according mr tagg peer tutoring let environment prefect next year yay extra cred
1,Lakers lead by six in overtime yay! ,lakers lead by six in overtime yay,lakers lead six overtime yay
